mu[234]	233001	234000
mu[235]	234001	235000
mu[236]	235001	236000
mu[237]	236001	237000
mu[238]	237001	238000
mu[239]	238001	239000
mu[240]	239001	240000
mu[241]	240001	241000
mu[242]	241001	242000
mu[243]	242001	243000
mu[244]	243001	244000
mu[245]	244001	245000
mu[246]	245001	246000
mu[247]	246001	247000
mu[248]	247001	248000
mu[249]	248001	249000
mu[250]	249001	250000
mu[251]	250001	251000
mu[252]	251001	252000
mu[253]	252001	253000
mu[254]	253001	254000
mu[255]	254001	255000
mu[256]	255001	256000
mu[257]	256001	257000
mu[258]	257001	258000
mu[259]	258001	259000
mu[260]	259001	260000
mu[261]	260001	261000
mu[262]	261001	262000
mu[263]	262001	263000
mu[264]	263001	264000
mu[265]	264001	265000
mu[266]	265001	266000
mu[267]	266001	267000
mu[268]	267001	268000
mu[269]	268001	269000
mu[270]	269001	270000
mu[271]	270001	271000
mu[272]	271001	272000
mu[273]	272001	273000
mu[274]	273001	274000
mu[275]	274001	275000
mu[276]	275001	276000
mu[277]	276001	277000
mu[278]	277001	278000
mu[279]	278001	279000
mu[280]	279001	280000
mu[281]	280001	281000
mu[282]	281001	282000
mu[283]	282001	283000
mu[284]	283001	284000
mu[285]	284001	285000
mu[286]	285001	286000
mu[287]	286001	287000
mu[288]	287001	288000
mu[289]	288001	289000
mu[290]	289001	290000
mu[291]	290001	291000
mu[292]	291001	292000
mu[293]	292001	293000
mu[294]	293001	294000
mu[295]	294001	295000
mu[296]	295001	296000
mu[297]	296001	297000
mu[298]	297001	298000
mu[299]	298001	299000
mu[300]	299001	300000
mu[301]	300001	301000
mu[302]	301001	302000
mu[303]	302001	303000
mu[304]	303001	304000
mu[305]	304001	305000
mu[306]	305001	306000
mu[307]	306001	307000
mu[308]	307001	308000
mu[309]	308001	309000
mu[310]	309001	310000
mu[311]	310001	311000
mu[312]	311001	312000
mu[313]	312001	313000
mu[314]	313001	314000
mu[315]	314001	315000
mu[316]	315001	316000
mu[317]	316001	317000
mu[318]	317001	318000
mu[319]	318001	319000
mu[320]	319001	320000
mu[321]	320001	321000
mu[322]	321001	322000
mu[323]	322001	323000
mu[324]	323001	324000
mu[325]	324001	325000
mu[326]	325001	326000
mu[327]	326001	327000
mu[328]	327001	328000
mu[329]	328001	329000
mu[330]	329001	330000
mu[331]	330001	331000
mu[332]	331001	332000
mu[333]	332001	333000
mu[334]	333001	334000
mu[335]	334001	335000
mu[336]	335001	336000
mu[337]	336001	337000
mu[338]	337001	338000
mu[339]	338001	339000
mu[340]	339001	340000
mu[341]	340001	341000
mu[342]	341001	342000
mu[343]	342001	343000
mu[344]	343001	344000
mu[345]	344001	345000
mu[346]	345001	346000
mu[347]	346001	347000
mu[348]	347001	348000
mu[349]	348001	349000
mu[350]	349001	350000
mu[351]	350001	351000
mu[352]	351001	352000
mu[353]	352001	353000
mu[354]	353001	354000
mu[355]	354001	355000
mu[356]	355001	356000
mu[357]	356001	357000
mu[358]	357001	358000
mu[359]	358001	359000
mu[360]	359001	360000
mu[361]	360001	361000
mu[362]	361001	362000
mu[363]	362001	363000
mu[364]	363001	364000
mu[365]	364001	365000
mu[366]	365001	366000
mu[367]	366001	367000
mu[368]	367001	368000
mu[369]	368001	369000
mu[370]	369001	370000
mu[371]	370001	371000
mu[372]	371001	372000
mu[373]	372001	373000
mu[374]	373001	374000
mu[375]	374001	375000
mu[376]	375001	376000
mu[377]	376001	377000
mu[378]	377001	378000
mu[379]	378001	379000
mu[380]	379001	380000
mu[381]	380001	381000
mu[382]	381001	382000
mu[383]	382001	383000
mu[384]	383001	384000
mu[385]	384001	385000
mu[386]	385001	386000
mu[387]	386001	387000
mu[388]	387001	388000
mu[389]	388001	389000
mu[390]	389001	390000
mu[391]	390001	391000
mu[392]	391001	392000
mu[393]	392001	393000
mu[394]	393001	394000
mu[395]	394001	395000
mu[396]	395001	396000
mu[397]	396001	397000
mu[398]	397001	398000
mu[399]	398001	399000
mu[400]	399001	400000
mu[401]	400001	401000
mu[402]	401001	402000
mu[403]	402001	403000
mu[404]	403001	404000
mu[405]	404001	405000
mu[406]	405001	406000
mu[407]	406001	407000
mu[408]	407001	408000
mu[409]	408001	409000
mu[410]	409001	410000
mu[411]	410001	411000
mu[412]	411001	412000
mu[413]	412001	413000
mu[414]	413001	414000
mu[415]	414001	415000
mu[416]	415001	416000
mu[417]	416001	417000
mu[418]	417001	418000
mu[419]	418001	419000
mu[420]	419001	420000
mu[421]	420001	421000
mu[422]	421001	422000
mu[423]	422001	423000
mu[424]	423001	424000
mu[425]	424001	425000
mu[426]	425001	426000
mu[427]	426001	427000
mu[428]	427001	428000
mu[429]	428001	429000
mu[430]	429001	430000
mu[431]	430001	431000
mu[432]	431001	432000
mu[433]	432001	433000
mu[434]	433001	434000
mu[435]	434001	435000
mu[436]	435001	436000
mu[437]	436001	437000
